地名,センター,燃えるごみ,びん,カン類・ペットボトル,プラ容器
馬場,美来の森,月 水 金,火3,木3,木3
生津,美来の森,月 水 金,火3,木3,木3
本田（団地・緑町除く）,美来の森,月 水 金,火3,木3,木3
本田（本田団地・本田緑町のみ）,美来の森,月 水 金,火1,木1,木1
只越,美来の森,月 水 金,火3,木3,木3
別府,美来の森,月 水 金,火2,木2,木2
穂積(タリを除く),美来の森,月 水 金,火1,木1,木1
穂積（タリのみ）,美来の森,月 水 金,火2,木2,木2
稲里,美来の森,月 水 金,火1,木1,木1
十九条,美来の森,月 水 金,火4,木4,木4
牛牧,美来の森,月 水 金,火4,木4,木4
宝江,美来の森,月 水 金,火4,木4,木4
野田新田,美来の森,月 水 金,火4,木4,木4
野白新田,美来の森,月 水 金,火4,木4,木4
祖父江,美来の森,月 水 金,火4,木4,木4
七崎,巣南集積場,月 水 金,火3,火3,木1 火3
居倉,巣南集積場,月 水 金,火3,火3,木1 火3
森,巣南集積場,月 水 金,火3,火3,木1 火3
田之上,巣南集積場,月 水 金,火3,火3,木1 火3
唐栗,巣南集積場,月 水 金,火3,火3,木1 火3
宮田,巣南集積場,月 水 金,火3,火3,木1 火3
大月,巣南集積場,月 水 金,火3,火3,木1 火3
重里,巣南集積場,月 水 金,火3,火3,木1 火3
美江寺,巣南集積場,月 水 金,火3,火3,木1 火3
十七条,巣南集積場,月 水 金,火3,火3,木1 火3
十八条,巣南集積場,月 水 金,火3,火3,木1 火3
古橋,巣南集積場,月 水 金,火3,火3,木1 火3
横屋,巣南集積場,月 水 金,火3,火3,木1 火3
中宮,巣南集積場,月 水 金,火3,火3,木1 火3 
呂久,巣南集積場,月 水 金,火3,火3,木1 火3
犀川,美来の森,月 水 金,火4,木4,木4
